items
100
200
300
400
500
600
700
800
900
1000
1100
1200
1300
1400
1500
1600
1700
1800
1910
2010
2110
2210
2320
2420
2520
2630
2730
2830
2940
3040
3150
3250
3360
3460
3570
3680
3790
3890
4000
4110
4220
4330
4440
4550
4660
4770
4890
5000
5120
5230
5350
5460
5580
5700
5820
5940
6060
6180
6310
6430
6560
6680
6810
6940
7070
7200
7340
7470
7610
7750
7890
8030
8180
8330
8480
8630
8780
8940
9100
9270
9440
9610
9790
9970
10150
10350
10550
10750
10970
11190
11430
11680
11940
12220
12530
12870
13250
13700
14290
15700
